Cate,Name,Stat,Nd,Vd,Formula,A0,A1,A2,A3,A4,A5,0.54607,n_e,V_e,0.47999,n_F',0.64385,n_C',0.48613,n_F,0.65627,n_C,,,,,,,,,,,,,,
SUMITA,K-PSFN215,Stan,2.153999,17.154519,Schott,4.30E+00,-1.41E-02,9.79E-02,7.69E-03,-4.68E-04,1.22E-04,,2.169704,17.005,,2.2069902,,2.1382047,,2.202611901,,2.135339711,,,,,,,,,,,,,,
SUMITA,K-PSFN173,Stan,2.147798,17.335645,Schott,4.28E+00,-1.40E-02,9.60E-02,7.76E-03,-5.16E-04,1.23E-04,,2.163261,17.185,,2.1999228,,2.1322339,,2.195620918,,2.129409316,,,,,,,,,,,,,,
SUMITA,K-PSFN214,Stan,2.143551,17.778163,Schott,4.27E+00,-1.52E-02,8.67E-02,1.12E-02,-1.32E-03,1.78E-04,,2.158592,17.630,,2.1940785,,2.1283597,,2.189922961,,2.12559836,,,,,,,,,,,,,,
SUMITA,K-PSFN214P,Stan,2.143996,17.7554,Schott,4.27E+00,-1.39E-02,9.58E-02,6.48E-03,-2.66E-04,9.68E-05,,2.159053,17.602,,2.1946725,,2.1288236,,2.190500452,,2.126068324,,,,,,,,,,,,,,
SUMITA,K-PSFN173(M),Stan,2.14342,17.303166,Schott,4.26E+00,-1.40E-02,9.52E-02,7.87E-03,-5.35E-04,1.24E-04,,2.158851,17.153,,2.1954491,,2.1278893,,2.19115418,,2.125071363,,,,,,,,,,,,,,
SUMITA,K-PSFN214(M),Stan,2.139128,17.741021,Schott,4.26E+00,-1.51E-02,8.66E-02,1.10E-02,-1.27E-03,1.74E-04,,2.154140,17.592,,2.1895758,,2.1239701,,2.185425371,,2.121215439,,,,,,,,,,,,,,
SUMITA,K-PSFN214P(M),Stan,2.13919,17.733583,Schott,4.25E+00,-1.39E-02,9.47E-02,6.66E-03,-3.08E-04,9.99E-05,,2.154201,17.580,,2.1897227,,2.1240667,,2.185561154,,2.121320781,,,,,,,,,,,,,,
HOYA,E-FDS3,Stan,2.104199,17.018473,Schott,4.11E+00,-1.82E-02,8.99E-02,7.87E-03,-5.22E-04,1.18E-04,,2.119350,16.876,,2.1552752,,2.0889454,,2.151059771,,2.086176122,,,,,,,,,,,,,,
HOYA,TAFD65,Pref,2.050897,26.942398,Schott,4.01E+00,-1.78E-02,5.86E-02,4.32E-03,-3.11E-04,3.75E-05,,2.060109,26.739,,2.0810416,,2.0413953,,2.078651566,,2.039645539,,,,,,,,,,,,,,
NHG,H-BIF210,Obso,2.093819,18.433446,Schott,3.90E+00,7.26E-02,2.32E-01,-4.78E-02,9.12E-03,-5.38E-04,,2.107640,18.267,,2.1404968,,2.0798608,,2.13665,,2.07731,,,,,,,,,,,,,,
SUMITA,K-PSFN202,Stan,2.019603,21.452524,Schott,3.85E+00,-1.65E-02,6.61E-02,5.85E-03,-5.06E-04,7.66E-05,,2.030761,21.273,,2.0566871,,2.0082321,,2.053681919,,2.006152673,,,,,,,,,,,,,,
SUMITA,K-BOC20,Stan,2.005402,27.682952,Schott,3.84E+00,-1.58E-02,5.60E-02,3.09E-03,-1.67E-04,2.78E-05,,2.013979,27.474,,2.0334481,,1.9965406,,2.031225758,,1.994906676,,,,,,,,,,,,,,
CDGM,H-ZLAF92,Stan,2.003307,28.31737,Schott,3.84E+00,-1.55E-02,5.58E-02,2.58E-03,-9.64E-05,2.26E-05,,2.011676,28.103,,2.0306512,,1.9946524,,2.028486552,,1.993055126,,,,,,,,,,,,,,
SUMITA,K-BOC30,Stan,2.006803,26.185189,Schott,3.84E+00,-1.51E-02,6.03E-02,2.45E-03,1.74E-05,1.72E-05,,2.015871,25.980,,2.0365704,,1.9974680,,2.034200377,,1.995750372,,,,,,,,,,,,,,
SUMITA,K-PSFN203,Stan,2.017002,20.83021,Schott,3.83E+00,-1.67E-02,6.81E-02,5.63E-03,-4.17E-04,7.10E-05,,2.028459,20.658,,2.0551256,,2.0053394,,2.052032531,,2.003208194,,,,,,,,,,,,,,
NHG,H-ZLAF82,Stan,2.001002,29.133646,Schott,3.83E+00,-1.56E-02,5.35E-02,2.76E-03,-1.28E-04,2.18E-05,,2.009124,28.915,,2.0274945,,1.9925951,,2.025402549,,1.991042973,,,,,,,,,,,,,,
HOYA,TAFD55,Pref,2.001003,29.134715,Schott,3.83E+00,-1.53E-02,5.46E-02,2.31E-03,-4.45E-05,1.61E-05,,2.009123,28.915,,2.0274975,,1.9925982,,2.025404781,,1.991046443,,,,,,,,,,,,,,
SUMITA,K-PSFN202(M),Stan,2.013652,21.41195,Schott,3.83E+00,-1.65E-02,6.51E-02,5.99E-03,-5.31E-04,7.81E-05,,2.024764,21.232,,2.0505953,,2.0023293,,2.047600663,,2.000259314,,,,,,,,,,,,,,
